XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:00,779 | INFO | Ledger Stream Respons: LedgerIndex =  61584513
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:04,696 | INFO | Ledger Stream Respons: LedgerIndex =  61584514
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:08,660 | INFO | Ledger Stream Respons: LedgerIndex =  61584515
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:12,475 | INFO | Ledger Stream Respons: LedgerIndex =  61584516
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:16,360 | INFO | Ledger Stream Respons: LedgerIndex =  61584517
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:20,310 | INFO | Ledger Stream Respons: LedgerIndex =  61584518
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:24,628 | INFO | Ledger Stream Respons: LedgerIndex =  61584519
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:28,428 | INFO | Ledger Stream Respons: LedgerIndex =  61584520
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:32,434 | INFO | Ledger Stream Respons: LedgerIndex =  61584521
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:36,426 | INFO | Ledger Stream Respons: LedgerIndex =  61584522
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:40,379 | INFO | Ledger Stream Respons: LedgerIndex =  61584523
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:44,485 | INFO | Ledger Stream Respons: LedgerIndex =  61584524
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:48,256 | INFO | Ledger Stream Respons: LedgerIndex =  61584525
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:52,224 | INFO | Ledger Stream Respons: LedgerIndex =  61584526
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:55,906 | INFO | Ledger Stream Respons: LedgerIndex =  61584527
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:13:59,644 | INFO | Ledger Stream Respons: LedgerIndex =  61584528
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:03,564 | INFO | Ledger Stream Respons: LedgerIndex =  61584529
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:07,492 | INFO | Ledger Stream Respons: LedgerIndex =  61584530
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:11,486 | INFO | Ledger Stream Respons: LedgerIndex =  61584531
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:15,444 | INFO | Ledger Stream Respons: LedgerIndex =  61584532
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:19,434 | INFO | Ledger Stream Respons: LedgerIndex =  61584533
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:23,426 | INFO | Ledger Stream Respons: LedgerIndex =  61584534
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:27,327 | INFO | Ledger Stream Respons: LedgerIndex =  61584535
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:31,316 | INFO | Ledger Stream Respons: LedgerIndex =  61584536
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:35,128 | INFO | Ledger Stream Respons: LedgerIndex =  61584537
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:38,637 | INFO | Ledger Stream Respons: LedgerIndex =  61584538
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:42,577 | INFO | Ledger Stream Respons: LedgerIndex =  61584539
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:46,525 | INFO | Ledger Stream Respons: LedgerIndex =  61584540
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:14:50,495 | INFO | Ledger Stream Respons: LedgerIndex =  61584541
